varname,school_vs_ind,individual,remove_drop,teach_comm_prof,coll_cat,catvar_to_encode,baddum_to_encode,label
age_y,Individual,1,0,Teacher,1,0,0,age
district,School ,0,0,Teacher,1,1,0,District
female,Individual,1,0,Teacher,1,0,0,female
hd_canread,Individual,1,0,Community,2,0,0,head of hh  can read simple note
hd_disable,Individual,1,0,Community,2,0,0,head of hh is disabled
hd_ed_lopr,Individual,1,0,Community,2,0,0,head of hh has some lower primary education
hd_ed_lose,Individual,1,0,Community,2,0,0,head of hh has some lower secondary education
hd_ed_none,Individual,1,0,Community,2,0,0,head of hh has no education
hd_ed_popr,Individual,1,0,Community,2,0,0,head of hh has some post primary education
hd_ed_uni,Individual,1,0,Community,2,0,0,head of hh has some university education
hd_ed_uppr,Individual,1,0,Community,2,0,0,head of hh has some upper primary education
hd_ed_upse,Individual,1,0,Community,2,0,0,head of hh has some upper secondary education
hd_edulvl,Individual,1,0,Community,2,0,0,head of hh education level - 1 to 8 blocks
hd_female,Individual,1,0,Community,2,0,0,head of hh is female
hd_mobile,Individual,1,0,Teacher,1,0,0,head of hh hass mobile phone
hd_unemp_long,Individual,1,0,Community,2,0,0,head of hh is long term unemployed
hd_unemp_shrt,Individual,1,0,Community,2,0,0,head of hh is short term unemployed
hhsize,Individual,1,0,Teacher,1,0,0,household size
id1,School ,0,0,Teacher,1,1,0,Province
kigali,School ,0,0,Teacher,1,0,0,kigali
ln_cons1,Individual,1,0,Professional,3,0,0,aggregate consumption (log)
ln_cons1_ae,Individual,1,0,Professional,3,0,0,aggregate consumption / ae (log)
ln_consumption,Individual,1,0,Professional,3,0,0,consumption (log)
ln_costsboard,Individual,1,1,Professional,3,0,0,Costs for Boarding (log)
ln_costsboardtransp,Individual,1,1,Professional,3,0,0,Costs for Boarding or transport (log)
ln_costscontributions,Individual,1,1,Professional,3,0,0,Costs of contributions (log)
ln_costsmaterial,Individual,1,1,Professional,3,0,0,Costs of materials (log)
ln_costsnontuition,Individual,1,1,Professional,3,0,0,Costs of all non-tuition expenses (log)
ln_costsother,Individual,1,1,Professional,3,0,0,costs of other school expenses (log)
ln_coststotal,Individual,1,1,Professional,3,0,0,costs of total school expenditure (log)
ln_coststotal,Individual,1,1,Professional,3,0,0,Costs of schooling (log)
ln_coststransport,Individual,1,1,Professional,3,0,0,costs of transportation (log)
ln_coststutition,Individual,1,1,Professional,3,0,0,costs of tuition (log)
ln_costsuniform,Individual,1,1,Professional,3,0,0,costs of unifrom (log)
ln_exp_edu_ae,Individual,1,1,Professional,3,0,0,log of per adult equiv. education expenses
ln_exp1,Individual,1,1,Professional,3,0,0,Education expenses (log)
ln_exp10,Individual,1,0,Professional,3,0,0,Provision of house (log)
ln_exp11,Individual,1,0,Professional,3,0,0,Other benefits (log)
ln_exp12,Individual,1,0,Professional,3,0,0,Annual non-food expenditures (log)
ln_exp12_wh,Individual,1,0,Professional,3,0,0,Annual non-food expenditures (without health) (log)
ln_exp13,Individual,1,0,Professional,3,0,0,Monthly non-food expenditures (log)
ln_exp14_1,Individual,1,0,Professional,3,0,0,Frequent non-food expenditures withour filter question 0 (log)
ln_exp14_2,Individual,1,0,Professional,3,0,0,Frequent non-food expenditures withour filter questions (log)
ln_exp15_1,Individual,1,0,Professional,3,0,0,Food expenditures without filter question 0 (log)
ln_exp15_2,Individual,1,0,Professional,3,0,0,Food expenditures without filter question (log)
ln_exp16_1,Individual,1,0,Professional,3,0,0,Own food consumption without filter question 0 (log)
ln_exp16_2,Individual,1,0,Professional,3,0,0,Own food consumption without filter question (log)
ln_exp16a_1,Individual,1,0,Professional,3,0,0,Own non-food consumption with filter question 0 (log)
ln_exp16a_2,Individual,1,0,Professional,3,0,0,Own non-food consumption without filter question (log)
ln_exp17,Individual,1,0,Professional,3,0,0,Use value of durable goods (log)
ln_exp18,Individual,1,0,Professional,3,0,0,Received transfers (log)
ln_exp4,Individual,1,0,Professional,3,0,0,Imputed rents (log)
ln_exp5,Individual,1,0,Professional,3,0,0,Actual rents (log)
ln_exp6,Individual,1,0,Professional,3,0,0,Maintenance costs (log)
ln_exp7,Individual,1,0,Professional,3,0,0,Water expenses (log)
ln_exp8,Individual,1,0,Professional,3,0,0,Electricity expenses (log)
ln_exp9,Individual,1,0,Professional,3,0,0,In-kind payments  (log)
ln_sol_jan,Individual,1,0,Professional,3,0,0,aggregate consumption / ae Jan14 = 100 (log)
lncons_ae,Individual,1,0,Professional,3,0,0,ln aggregate consumption / ae Jan14 = 100
ontrack,Individual,1,0,Teacher,1,0,0,pupil is on track
p1,Individual,1,0,Teacher,1,0,0,in primary 1
p2,Individual,1,0,Teacher,1,0,0,in primary 2
p3,Individual,1,0,Teacher,1,0,0,in primary 3
p4,Individual,1,0,Teacher,1,0,0,in primary 4
p5,Individual,1,0,Teacher,1,0,0,in primary 5
p6,Individual,1,0,Teacher,1,0,0,in primary 6
paid_contrib,Individual,1,1,Community,2,0,0,paind any contributions
paid_material,Individual,1,1,Community,2,0,0,paid any contribution
